1:Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
449:|||||||000001|08/01/2024|Vente|874000,00||||B021|LES GRANDS BOIS|1310|CURTAFOND|01|140||D|553||||||||||||0||||||P||3270
450:|||||||000001|08/01/2024|Vente|874000,00||||B021|LES GRANDS BOIS|1310|CURTAFOND|01|140||D|554||||||||||||0||||||P||3336
451:|||||||000001|08/01/2024|Vente|874000,00||||B021|LES GRANDS BOIS|1310|CURTAFOND|01|140||D|555||||||||||||0||||||T||4679
452:|||||||000001|08/01/2024|Vente|874000,00||||B021|LES GRANDS BOIS|1310|CURTAFOND|01|140||D|556||||||||||||0||||||T||5007
453:|||||||000001|08/01/2024|Vente|874000,00||||B021|LES GRANDS BOIS|1310|CURTAFOND|01|140||D|557||||||||||||0||||||T||5898
454:|||||||000001|08/01/2024|Vente|874000,00||||B021|LES GRANDS BOIS|1310|CURTAFOND|01|140||D|558||||||||||||0||||||T||8588
455:|||||||000001|08/01/2024|Vente|874000,00||||B021|LES GRANDS BOIS|1310|CURTAFOND|01|140||D|559||||||||||||0||||||T||4134
456:|||||||000001|08/01/2024|Vente|874000,00||||B021|LES GRANDS BOIS|1310|CURTAFOND|01|140||D|560||||||||||||0||||||T||1078
457:|||||||000001|08/01/2024|Vente|874000,00||||B021|LES GRANDS BOIS|1310|CURTAFOND|01|140||D|561||||||||||||0||||||T||1176
458:|||||||000001|08/01/2024|Vente|874000,00||||B021|LES GRANDS BOIS|1310|CURTAFOND|01|140||D|562||||||||||||0||||||T||18756
459:|||||||000001|08/01/2024|Vente|874000,00||||B021|LES GRANDS BOIS|1310|CURTAFOND|01|140||D|564||||||||||||0||||||T||1026
460:|||||||000001|08/01/2024|Vente|874000,00||||B021|LES GRANDS BOIS|1310|CURTAFOND|01|140||D|565||||||||||||0||||||T||14760
461:|||||||000001|08/01/2024|Vente|874000,00||||B021|LES GRANDS BOIS|1310|CURTAFOND|01|140||D|566||||||||||||0||||||T||4428
462:|||||||000001|08/01/2024|Vente|874000,00||||B021|LES GRANDS BOIS|1310|CURTAFOND|01|140||D|567||||||||||||0||||||T||2108
463:|||||||000001|08/01/2024|Vente|874000,00||||B021|LES GRANDS BOIS|1310|CURTAFOND|01|140||D|568||||||||||||0||||||T||3966
464:|||||||000001|08/01/2024|Vente|874000,00||||B021|LES GRANDS BOIS|1310|CURTAFOND|01|140||D|569||||||||||||0||||||T||6460
